"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"311149259"@;@"""UMAR BOBO FARZONA"" OK"@;@"1706"@;@"1706207"
"310390279"@;@"OOO ""SAM TRADE 1"""@;@"1718"@;@
"305506378"@;@"ООО ""GONDRA"""@;@"1727"@;@
"306105844"@;@"""SHUHRATOV SHAHROM BARAKA"" MCHJ"@;@"1706"@;@"1706207"
"310650570"@;@"ООО ""MAKU TEJARET"""@;@"1718"@;@
"308367004"@;@"""LOBMOD"" MCHJ"@;@"1726"@;@"1726292"
"306557243"@;@"ООО ""AVTO-WORLD LOGISTICS"""@;@"1726"@;@
"309487313"@;@"""BARPO MAX TRADE"" MCHJ"@;@"1724"@;@"1724231"
"304398585"@;@"""DOMASHNIY STANDART XVAN"" XK"@;@"1726"@;@"1726294"
"306563158"@;@"""NURAFSHON - MAXSUS - BETON"" MCHJ"@;@"1727"@;@"1727401"
"311544923"@;@ООО MINARET ELECTRONICS@;@"1726"@;@
"305385253"@;@"ООО ""Bahoriy gullar"""@;@"1726"@;@
"310299650"@;@"""SHOXAKBAR YOSH KUCH"" MCHJ"@;@"1727"@;@"1727401"
"300786865"@;@"""ASIA HEAT"" XK"@;@"1726"@;@"1726262"
"305723401"@;@"""IZRAKOM"" MCHJ"@;@"1730"@;@"1730233"
"310023535"@;@"""ABDUVOHID TEXTILLE GOLD"" MCHJ"@;@"1703"@;@"1703220"
"301385708"@;@"""ISHONCH BARAKA INVEST"" MCHJ"@;@"1726"@;@"1726277"
"311773433"@;@"ООО""AMIN ASQADBEK TRANS""Бухоро вил"@;@"1726"@;@
"305923310"@;@"""GULBOG` POYAFZALLARI"" OK"@;@"1718"@;@"1718236"
"304994288"@;@"""FARANGIZ KLASSIK BIZNES"" MCHJ"@;@"1727"@;@"1727228"
"308639692"@;@"OOO ""Orient East"""@;@"1703"@;@
"304406494"@;@"""MOXLAROY LAZIZIBEK FAYZ"" OK"@;@"1730"@;@"1730203"
"304031741"@;@"""GRAND CERAMICS"" MCHJ"@;@"1727"@;@"1727237"
"200679218"@;@"""SHUXRAT-D"" XK"@;@"1710"@;@"1710207"
"311052720"@;@"""ZHONGYA LUXIANG AUTOMOBILE TRADING"" LLC"@;@"1726"@;@
"200796334"@;@"""O'ZBEKISTON RESPUBLIKASI VAZIRLAR MAHKAMASI APPARATI XO'JALIK FAOLIYATI BOSHQARMASI"" DUK"@;@"1726"@;@"1726294"
"302527267"@;@"ООО ""SUPER CONE"""@;@"1726"@;@
"302422873"@;@"""NEW CONTINENT TRADE"""@;@"1726"@;@
"308162354"@;@"""OLMAZOR FAYZ JAVOHIRI"" OK"@;@"1730"@;@"1730224"
"302995328"@;@"""QUALITY BRICK INDUSTRY"" MCHJ"@;@"1730"@;@"1730221"
"311185491"@;@"""REKLAMA SOFT"" MCHJ"@;@"1703"@;@"1703220"
"201122941"@;@OLIY MAJLIS QONUNCHILIK PALATASINING DEVONI@;@"1726"@;@"1726294"
"309323041"@;@"""QOBLAN GAPUROV"" MCHJ"@;@"1735"@;@"1735401"
"302399474"@;@"""SAMARKAND FAIRYTALE"" MCHJ"@;@"1718"@;@"1718401"
"302420496"@;@"""ZAMIN GO`ZALLIGI"" MCHJ"@;@"1726"@;@"1726294"
"207248258"@;@"""MUXLISAXON QALB NURI MCHJ"" MCHJ"@;@"1703"@;@"1703206"
"305789232"@;@"""VS PRINT CENTER"" MCHJ"@;@"1726"@;@"1726273"
"308261058"@;@"""POSHSHO"" MCHJ"@;@"1718"@;@"1718401"
"306427634"@;@"""HUMO NUR PRINT"" MCHJ"@;@"1726"@;@"1726290"
"305518330"@;@"""MEGA TRANS ENERGO SYSTEM"" MCHJ"@;@"1727"@;@"1727239"
"310005873"@;@"""TOJIXOL YONBOSHSOY"" MCHJ"@;@"1718"@;@"1718215"
"304673774"@;@"""AKBAR JAVLON DILNOZA"" OK"@;@"1735"@;@"1735204"
"305734561"@;@"""ISOLA M"" MCHJ"@;@"1726"@;@"1726280"
