"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"3403110000"@;@520 504@;@3 324@;@1 071 513@;@1 073 063@;@888 862@;@182 651@;@1 409 366@;@1 550@;@1 550@;@0,6@;@930@;@0,31
"7320208101"@;@1 441 796@;@289@;@@;@@;@@;@@;@1 441 796@;@@;@@;@0,3@;@@;@0,56
"4822900000"@;@131 561@;@55 985@;@59 430@;@74 784@;@59 430@;@@;@135 006@;@15 354@;@15 354@;@0,6@;@9 212,4@;@0,64
"7005218000"@;@2 109 543@;@65 234@;@38 592@;@41 165@;@38 537@;@1 284@;@2 081 617@;@2 573@;@2 573@;@0,6@;@1 543,8@;@0,63
"0910993900"@;@4 725@;@@;@@;@@;@@;@@;@4 725@;@@;@@;@0@;@@;@0,5
"7217205000"@;@247 906@;@@;@5 479 638@;@6 793 921@;@5 479 638@;@19 814@;@5 707 730@;@1 314 283@;@247 906@;@0,7@;@173 534,2@;@1,75
"4407119400"@;@308 312 230@;@@;@@;@@;@@;@@;@308 312 230@;@@;@@;@0,4@;@@;@0,58
"8462610091"@;@905 274@;@@;@@;@@;@@;@@;@905 274@;@@;@@;@0@;@@;@0,5
"7318162000"@;@345 493@;@@;@14 995@;@20 229@;@14 442@;@553@;@359 935@;@5 234@;@5 234@;@0,3@;@1 570,2@;@0,54
"0706100004"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"7320101900"@;@156 726@;@1 524@;@44 754@;@44 754@;@44 754@;@@;@199 956@;@0@;@0@;@0,6@;@0@;@0,51
"8443120000"@;@86 384@;@@;@@;@@;@@;@@;@86 384@;@@;@@;@0@;@@;@0,5
"3214101001"@;@6 642 318@;@37 322@;@3 142 646@;@4 648 844@;@2 586 750@;@76 246@;@9 671 396@;@1 506 198@;@1 506 198@;@0,6@;@903 718,8@;@0,53
"5904900001"@;@@;@@;@1 857 136@;@1 857 136@;@1 719 079@;@109 988@;@1 719 079@;@0@;@@;@0,3@;@@;@
"2914790000"@;@330 081@;@@;@@;@@;@@;@@;@330 081@;@@;@@;@0@;@@;@0,5
"7017100000"@;@54 047@;@144@;@@;@@;@@;@@;@54 047@;@@;@@;@0,3@;@@;@0,56
"9405420012"@;@1 493 541@;@56@;@7 540@;@7 540@;@7 540@;@@;@1 501 025@;@0@;@0@;@1@;@0@;@0,7
"5903909900"@;@2 269 462@;@480@;@89 769@;@89 769@;@89 769@;@@;@2 358 751@;@0@;@0@;@0,6@;@0@;@0,6
"9015809900"@;@630 260@;@41 140@;@@;@@;@@;@@;@630 260@;@@;@@;@0,3@;@@;@0,56
"3702328500"@;@1 301@;@@;@@;@@;@@;@@;@1 301@;@@;@@;@0@;@@;@0,5
"5208221600"@;@536@;@1 944 726@;@1 520 237@;@2 514 834@;@1 535 101@;@108 874@;@1 411 899@;@994 597@;@536@;@1@;@536@;@100
"0301991810"@;@@;@4 500@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"7326907000"@;@@;@@;@790@;@790@;@790@;@@;@790@;@0@;@@;@0,3@;@@;@
"7616991001"@;@145 806@;@@;@1 814@;@1 814@;@1 814@;@@;@147 620@;@0@;@0@;@0,3@;@0@;@0,55
"2106909200"@;@@;@@;@187 463@;@187 463@;@187 463@;@@;@187 463@;@0@;@@;@0,3@;@@;@
"6111901900"@;@11 295@;@14 457@;@673 826@;@679 344@;@653 715@;@29 130@;@655 991@;@5 518@;@5 518@;@0,6@;@3 310,8@;@0,28
"3904300000"@;@592 698@;@15 623@;@1 503 191@;@1 503 191@;@1 503 191@;@242 178@;@1 853 711@;@0@;@0@;@0,6@;@0@;@0,28
"2001909200"@;@@;@@;@16 935 494@;@16 935 494@;@1 817 665@;@885 898@;@1 817 665@;@0@;@@;@0,3@;@@;@
"8461401102"@;@926 587@;@@;@869@;@869@;@869@;@@;@927 456@;@0@;@0@;@0,3@;@0@;@0,56
"7210122000"@;@8 853 247@;@@;@606 891@;@606 891@;@606 891@;@@;@9 460 138@;@0@;@0@;@0,3@;@0@;@0,53
"8483303801"@;@@;@@;@790@;@790@;@790@;@@;@790@;@0@;@@;@0,3@;@@;@
"0602901000"@;@100 839@;@@;@@;@@;@@;@@;@100 839@;@@;@@;@0@;@@;@0,5
"4402900000"@;@958 205@;@22 761@;@262 591@;@265 186@;@262 591@;@@;@1 198 035@;@2 595@;@2 595@;@1@;@2 595@;@0,6
"7304293001"@;@5 981 876@;@@;@@;@@;@@;@@;@5 981 876@;@@;@@;@0@;@@;@0,5
"4009320009"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"3911901900"@;@1 126 143@;@37 094@;@@;@@;@@;@@;@1 126 143@;@@;@@;@0,3@;@@;@0,56
"8477809800"@;@13 722 586@;@252 467@;@@;@@;@@;@@;@13 722 586@;@@;@@;@0,3@;@@;@0,56
"7220208101"@;@4 053@;@@;@@;@@;@@;@@;@4 053@;@@;@@;@0@;@@;@0,5
"1513191902"@;@8 424 356@;@206 250@;@@;@@;@@;@@;@8 424 356@;@@;@@;@0,3@;@@;@0,56
"5310109000"@;@@;@@;@278 344@;@278 344@;@@;@278 344@;@0@;@0@;@@;@0,3@;@@;@
