"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"8481801100"@;@11 840 290@;@4 740 423@;@4 146 248@;@4 170 719@;@4 145 854@;@3 490 156@;@2@;@57,5@;@7 755 959@;@74,06@;@46,54@;@5 678,9898@;@56,79@;@4@;@70@;@99,41@;@0,59@;@0@;@54,532
"8481801900"@;@2 243 467@;@987 347@;@1 221 386@;@1 227 720@;@1 217 374@;@67 096@;@@;@@;@2 410 410@;@64,75@;@49,33@;@1 771,7969@;@17,72@;@3@;@100@;@99,48@;@0,52@;@50@;@51,066
"8481803100"@;@266 348@;@@;@6 314@;@6 314@;@5 130@;@1 184@;@@;@@;@271 478@;@97,68@;@97,67@;@1 893,1425@;@18,93@;@3@;@100@;@100@;@0@;@50@;@73,906
"8481803900"@;@3 404 805@;@8 659@;@5 129@;@5 129@;@4 538@;@592@;@@;@@;@3 400 683@;@99,85@;@99,85@;@2 708,8854@;@27,09@;@3@;@100@;@100@;@0@;@50@;@76,51
"8481804000"@;@5 508 902@;@209@;@54 070@;@54 070@;@52 112@;@1 959@;@@;@@;@5 560 804@;@99,03@;@99,03@;@6 047,696@;@60,48@;@2@;@100@;@100@;@0@;@50@;@81,018
"8481805100"@;@649 545@;@92 897@;@716 030@;@716 030@;@715 636@;@35 860@;@@;@@;@1 329 715@;@47,57@;@46,15@;@1 315,6984@;@13,16@;@5@;@70@;@100@;@0@;@50@;@39,758
"8481805910"@;@4 327 845@;@136 205@;@1 214 619@;@1 299 355@;@1 214 225@;@9 336@;@11@;@42,64@;@5 396 923@;@78,09@;@77,49@;@1 858,1783@;@18,58@;@6@;@70@;@93,48@;@6,52@;@0@;@57,234
"8481805990"@;@9 733 762@;@240 101@;@265 743@;@265 743@;@194 580@;@84 410@;@8@;@65,93@;@9 674 994@;@97,34@;@97,25@;@2 162,7018@;@21,63@;@8@;@70@;@100@;@0@;@0@;@68,586
"8481806100"@;@7 494 061@;@1 782@;@185 591@;@641 039@;@169 474@;@205 902@;@78@;@74,47@;@7 471 968@;@97,58@;@97,52@;@3 547,233@;@35,47@;@6@;@70@;@28,95@;@71,05@;@0@;@77,936
"8481806310"@;@132 804@;@@;@72 411@;@72 411@;@72 017@;@394@;@@;@@;@204 821@;@64,71@;@64,65@;@5 002,205@;@50,02@;@4@;@70@;@100@;@0@;@50@;@55,814
"8481806320"@;@20 823@;@@;@788 025@;@949 022@;@787 631@;@394@;@206@;@56,74@;@808 454@;@2,57@;@2,53@;@10 000@;@100@;@4@;@70@;@83,04@;@16,96@;@0@;@25,234
"8481806390"@;@11 792 503@;@4 737@;@3 378 752@;@4 165 654@;@3 234 479@;@1 029 501@;@217@;@66,73@;@14 137 017@;@77,73@;@76,1@;@4 260,9995@;@42,61@;@9@;@70@;@81,11@;@18,89@;@0@;@61,612
"8481806900"@;@2 236 798@;@@;@39 194@;@39 194@;@38 800@;@4 265@;@@;@@;@2 271 727@;@98,28@;@98,27@;@4 455,7993@;@44,56@;@6@;@70@;@100@;@0@;@50@;@75,166
"8481807100"@;@215 329@;@86 212@;@307 228@;@351 585@;@309 272@;@25 557@;@71@;@86,27@;@497 000@;@41,21@;@38,18@;@3 068,6374@;@30,69@;@4@;@70@;@87,38@;@12,62@;@0@;@37,02
"8481807310"@;@32 075@;@@;@28 118@;@28 118@;@27 724@;@394@;@13@;@65,78@;@59 799@;@53,29@;@52,98@;@7 917,9006@;@79,18@;@3@;@100@;@100@;@0@;@0@;@53,812
"8481807320"@;@4 619@;@@;@23 395@;@23 395@;@23 001@;@394@;@11@;@69,76@;@27 620@;@16,49@;@15,3@;@7 076,9514@;@70,77@;@2@;@100@;@100@;@0@;@0@;@30,256
"8481807391"@;@554 027@;@@;@6 709@;@6 709@;@6 315@;@5 055@;@@;@@;@555 681@;@98,8@;@98,79@;@9 007,2703@;@90,07@;@2@;@100@;@100@;@0@;@50@;@85,278
"8481807399"@;@3 318 980@;@14 000@;@1 560 195@;@1 740 797@;@1 360 096@;@75 445@;@84@;@74,05@;@4 789 730@;@68,02@;@67,43@;@2 802,7798@;@28,03@;@5@;@70@;@89,63@;@10,37@;@0@;@52,894
"8481807900"@;@2 394 950@;@50 726@;@1 391 177@;@1 391 177@;@1 191 078@;@75 445@;@15@;@65,18@;@3 659 956@;@63,26@;@61,99@;@1 666,8919@;@16,67@;@6@;@70@;@100@;@0@;@0@;@47,202
"8481808110"@;@28 931@;@@;@178 932@;@178 932@;@178 538@;@394@;@63@;@65,99@;@207 469@;@13,92@;@13,75@;@3 742,9358@;@37,43@;@2@;@100@;@100@;@0@;@0@;@23,918
"8481808120"@;@232 810@;@@;@23 981@;@23 981@;@23 587@;@394@;@@;@@;@256 397@;@90,66@;@90,65@;@7 848,6622@;@78,49@;@3@;@100@;@100@;@0@;@50@;@78,694
"8481808190"@;@37 745 326@;@83 333@;@4 255 258@;@4 345 540@;@4 041 713@;@680 748@;@44@;@67,08@;@41 236 503@;@89,87@;@89,68@;@2 478,4639@;@24,78@;@10@;@70@;@97,92@;@2,08@;@0@;@64,784
"8481808501"@;@8 005@;@@;@51 006@;@51 006@;@50 612@;@394@;@27@;@67,27@;@58 617@;@13,57@;@12,98@;@8 905,5122@;@89,06@;@3@;@100@;@100@;@0@;@0@;@31,424
"8481808502"@;@6 242@;@@;@47 402@;@47 402@;@47 008@;@22 077@;@@;@@;@31 567@;@11,64@;@-50,16@;@10 000@;@100@;@3@;@100@;@100@;@0@;@50@;@22,124
